Error Category,RMSE [kcal/mol]
Mg2+,0.2970937657636517
Ca2+,0.42993299165218896
Sr2+,0.33355909498626257
La3+,0.21466268981019818
Pr3+,0.17578000501889532
Nd3+,0.19581143364537193
Sm3+,0.20815256899990262
Gd3+,0.19321257829528013
Tb3+,0.22682908598888551
Dy3+,0.19940370641714
Er3+,0.22455961064222818
Mn2+,0.30655767734773326
Co2+,0.3046483562013132
Ni2+,0.31810190977921976
Cu2+,0.29179058289309595
Al3+,0.3092934627513742
Zn2+,0.3123969016485297
Na+,0.49802790157070037
Fe3+,0.3614487052122716
Li+,0.33340840120075305
K+,0.41656280578157584
Rb+,0.494510373236874
Cs+,0.3775676742153022
Unobserved Ligand,0.4480524974574773
