Feature,Normalized Importance,Importance
fr_nitro,1.0,0.9052314567796583
MinAbsPartialCharge,0.8251767872546795,0.7469759852273117
fr_C_S,0.7283535412139678,0.659328537163743
fr_guanido,0.725808638002863,0.6570248107225913
fr_aniline,0.6326698115289265,0.572712615150842
fr_azo,0.5925670249750818,0.5364103112577815
fr_nitroso,0.47118726231719515,0.4265335318834136
fr_furan,0.4663712928765614,0.4221739648508624
fr_ketone_Topliss,0.4310225756235843,0.3901751940366577
fr_C_O_noCOO,0.42769474184142797,0.38716273421411573
Pauling Crystal Ionic Radii [nm],0.3682897234733083,0.3333874428967204
FpDensityMorgan1,0.3616534543745272,0.3273800833528489
fr_hdrzone,0.36051274996386357,0.32634748183742895
fr_thiophene,0.3315330739734742,0.3001141675236463
Chi3n,0.32811333198745213,0.29701850950382896
HallKierAlpha,0.310122881864399,0.2807329881308158
fr_Ar_N,0.2808460512253276,0.25423068008151783
Ionic Radii in Solution [nm],0.280381436312726,0.25381009604734195
fr_alkyl_halide,0.270316126982632,0.2446986614195231
fr_piperzine,0.26868114462040954,0.24321862395395938
BCUT2D_CHGLO,0.26111823804588014,0.2363724430180097
BCUT2D_LOGPLOW,0.24516057575297073,0.22192706513380148
Chi2n,0.24249956386326632,0.21951823346437635
NumAromaticCarbocycles,0.23289442830713886,0.210823362612337
Pauling Electronegativity,0.20685735296459387,0.18725378296972328
qed,0.2045655566477026,0.18517917685114155
fr_Al_COO,0.19841045237654467,0.17960738284513056
fr_amide,0.19804185849154002,0.1792737200656477
NumAliphaticHeterocycles,0.18271827345872999,0.16540232886331013
fr_oxime,0.17797389202268632,0.16110756554444194
fr_Imine,0.17453492529050746,0.1579945046796549
fr_benzene,0.17375531430756772,0.15728877629384694
fr_phos_acid,0.16542124463985855,0.1497445142676434
NumAliphaticCarbocycles,0.15993075130969178,0.14477434699193753
NumAliphaticRings,0.15212778618497177,0.13771085750488637
fr_ether,0.14442534868693427,0.1307383687877836
fr_piperdine,0.14306970371037234,0.12951119631077443
NumHeteroatoms,0.14070128039796875,0.12736722502541645
Ion-Water Internuclear Distance [nm],0.13689501704430998,0.12392167570489687
fr_sulfide,0.12847798528342314,0.11630231378222863
Chi0,0.12593153611639338,0.11399718789314293
Chi1v,0.11601498870413306,0.10502041723291797
fr_thiocyan,0.10854684728410671,0.09826002069583102
fr_Al_OH,0.10511658627803744,0.09515484052817247
fr_urea,0.09575828719750071,0.08668341381851848
fr_hdrzine,0.09558187520928876,0.08652372013743598
fr_barbitur,0.09402458043490629,0.08511400792018638
Charge,0.09358500686594506,0.08471609209799377
fr_nitro_arom_nonortho,0.09284444574525201,0.08404571287587442
fr_thiazole,0.08848159900952426,0.08009632676958522
Kappa2,0.08620766523490238,0.07803789038616378
MinPartialCharge,0.07444358621458387,0.06738867599692985
